Date,Open,High,Low,Close,Adj Close,Volume,Name,Return,Up,Down,avg_14up,avg_14down,RS_14,RSI,5MA,15MA,12Ewm,26Ewm,MACD,low_14,high_14,k_percent,r_percent,B_MA,BU,BL,dec_rsi,Signal_RSI_fuzz_system,dec_will,Signal_william_fuzz_system,prev_5MA,crossover,cross_MA,diff_MA,diff_MA_prev,fuzz_MA_strategy,Signal_Line,MACD_decision,diff_MACD,diff_MACD_prev,fuzz_MACD_strategy,dec_bollinger,diff_cl_BU,diff_cl_BL,prev_diff_cl_BU,prev_diff_cl_BL,fuzz_BB_strategy
2019-05-16,1.1209505796432495,1.122435212135315,1.1174308061599731,1.1207244396209717,1.1207244396209717,0,EURUSD=X,0.0002464851805687,0.0002464851805687,0.0,0.0009934929679375,0.0005434174694941,1.828231559913409,64.64221621122789,1.1220563888549804,1.1196173985799154,1.121012180335713,1.121682853635363,-0.0006706732996499,1.1141316890716553,1.126341700553894,53.99463021723212,-46.00536978276788,1.1202996790409088,1.1268220333434027,1.1137773247384148,0,0,0,0,1.121878170967102,,0,0.0024389902750650005,0.0026191075642902906,0,-0.0011287599964089699,0,0.00045808669675906984,0.0005482517433866373,0,0,-0.006097593722431016,0.006947114882556837,-0.008066893875583236,0.007465065777285673,0
2019-05-17,1.117480754852295,1.1184431314468384,1.1157352924346924,1.1173559427261353,1.1173559427261353,0,EURUSD=X,-0.0030101684148013,0.0,0.0030101684148013,0.0009075224628073,0.0007584294991228,1.1965811770993973,54.47470776743577,1.1210858821868896,1.1198621352513631,1.1204496822419316,1.121362341716161,-0.0009126594742292,1.1141316890716553,1.126341700553894,26.40663900414938,-73.59336099585062,1.11998770236969,1.1264428425958164,1.1135325621435637,0,0,0,0,1.1220563888549804,,0,0.0012237469355265151,0.0024389902750650005,0,-0.0010855398919730158,0,0.00017288041774381582,0.00045808669675906984,0,0,-0.009086899869681142,0.0038233805825715894,-0.006097593722431016,0.006947114882556837,0
2019-05-20,1.1165324449539185,1.1177005767822266,1.11512553691864,1.1165324449539185,1.1165324449539185,0,EURUSD=X,-0.000737277488044,0.0,0.000737277488044,0.000684167035169,0.0008110921768402,0.8435132956581433,45.75574787796715,1.119663166999817,1.1199625571568808,1.119847030351468,1.1210045715856245,-0.0011575412341564,1.1141316890716553,1.126341700553894,19.662191847693432,-80.33780815230656,1.1195915937423706,1.125862233766658,1.1133209537180833,0,0,1,1,1.1210858821868896,bearish crossover,-1,-0.0002993901570638169,0.0012237469355265151,-1,-0.0010999401604096927,-1,-5.7601073746707315e-05,0.00017288041774381582,0,0,-0.009329788812739492,0.0032114912358351955,-0.009086899869681142,0.0038233805825715894,0
2019-05-21,1.1169440746307373,1.11831796169281,1.1142433881759644,1.1168566942214966,1.1168566942214966,0,EURUSD=X,0.0002903652249119,0.0002903652249119,0.0,0.0005081010817993,0.0008110921768402,0.6264406146520998,38.51604596003631,1.1183835506439208,1.11985178788503,1.1193869786391648,1.120697321410504,-0.0013103427713392,1.1141316890716553,1.126341700553894,22.31779350744447,-77.68220649255552,1.1191395342350006,1.124766492241848,1.113512576228153,0,0,0,0,1.119663166999817,,0,-0.001468237241109227,-0.0002993901570638169,0,-0.001142020682595594,0,-0.00016832208874360583,-5.7601073746707315e-05,0,0,-0.007909798020351522,0.003344117993343554,-0.009329788812739492,0.0032114912358351955,0
2019-05-23,1.115511178970337,1.1172809600830078,1.1109507083892822,1.1155484914779663,1.1155484914779663,0,EURUSD=X,-0.0011720120537771,0.0,0.0011720120537771,0.0005081010817993,0.0007979315533189,0.6367727653906338,38.9041642710044,1.1174036026000975,1.1194480657577517,1.1187964421528267,1.1203159266006864,-0.0015194844478596,1.1109507083892822,1.126341700553894,29.873207909595767,-70.12679209040424,1.1187951982021331,1.1244158437380318,1.1131745526662344,0,0,0,0,1.1183835506439208,,0,-0.002044463157654164,-0.001468237241109227,0,-0.0012175134356483953,0,-0.00030197101221120476,-0.00016832208874360583,0,0,-0.00886735226006552,0.0023739388117318683,-0.007909798020351522,0.003344117993343554,0
2019-05-24,1.1183805465698242,1.1212018728256226,1.1178054809570312,1.1184556484222412,1.1184556484222412,0,EURUSD=X,0.0026026438656781,0.0026026438656781,0.0,0.000694004215062,0.0006237385330071,1.1126524630700063,52.66613806670088,1.1169498443603516,1.119339497884115,1.1187440123481212,1.1201781282170975,-0.0014341158689765,1.1109507083892822,1.126341700553894,48.76189886065262,-51.23810113934737,1.1189505100250243,1.1243370387021756,1.113563981347873,0,0,0,0,1.1174036026000975,,0,-0.002389653523763302,-0.002044463157654164,0,-0.0012608339223140162,0,-0.00017328194666248382,-0.00030197101221120476,0,0,-0.005881390279934395,0.004891667074368167,-0.00886735226006552,0.0023739388117318683,0
2019-05-27,1.1206364631652832,1.1218308210372925,1.118806004524231,1.1209630966186523,1.1209630966186523,0,EURUSD=X,0.0022393750608959,0.0022393750608959,0.0,0.0007757005543292,0.0006237385330071,1.2436309659906144,55.42939034278852,1.117671275138855,1.1195799748102824,1.1190854099282028,1.1202362740246203,-0.0011508640964175,1.1109507083892822,1.126341700553894,65.0535593955495,-34.9464406044505,1.119314420223236,1.1241592753132943,1.1144695651331775,0,0,0,0,1.1169498443603516,,0,-0.0019086996714274829,-0.002389653523763302,0,-0.0012388399571347131,1,8.797586071721312e-05,-0.00017328194666248382,0,0,-0.003196178694641949,0.006493531485474824,-0.005881390279934395,0.004891667074368167,0
2019-05-28,1.1193571090698242,1.1199462413787842,1.1171810626983645,1.11938214302063,1.11938214302063,0,EURUSD=X,-0.00141134842298,0.0,0.00141134842298,0.0006733583054644,0.0007245491346485,0.9293480224650617,48.169019360108265,1.1182412147521972,1.119633396466573,1.1191310611731915,1.120173005061362,-0.0010419438881701,1.1109507083892822,1.126341700553894,54.78161863231988,-45.21838136768013,1.1195322215557098,1.1239370332082543,1.1151274099031652,0,0,0,0,1.117671275138855,,0,-0.0013921817143758286,-0.0019086996714274829,0,-0.0011994607433417905,0,0.00015751685517169053,8.797586071721312e-05,0,0,-0.004554890187624228,0.004254733117464937,-0.003196178694641949,0.006493531485474824,0
2019-05-29,1.1170687675476074,1.1175681352615356,1.1125946044921875,1.1170687675476074,1.1170687675476074,0,EURUSD=X,-0.002068792377401,0.0,0.002068792377401,0.0006733583054644,0.0008035400339872,0.8379897416226315,45.592732246853,1.1182836294174194,1.1194256703058878,1.1188137852307942,1.1199430615418249,-0.0011292763110304,1.1109507083892822,1.126341700553894,39.75090814737934,-60.24909185262065,1.1194597482681274,1.1239809642891347,1.11493853224712,0,0,0,0,1.1182412147521972,,0,-0.0011420408884683653,-0.0013921817143758286,0,-0.0011854238568795126,0,5.6147545849112536e-05,0.00015751685517169053,0,0,-0.006912196741527321,0.002130235300487504,-0.004554890187624228,0.004254733117464937,0
2019-05-30,1.113833785057068,1.1146035194396973,1.1118524074554443,1.1137346029281616,1.1137346029281616,0,EURUSD=X,-0.0029892075171091,0.0,0.0029892075171091,0.0006269831009704,0.0010170548566379,0.6164693053461359,38.13677768623827,1.1179208517074586,1.1190675417582194,1.1180323725688508,1.1194831757185904,-0.0014508031497395,1.1109507083892822,1.126341700553894,18.087817270678265,-81.91218272932174,1.119066262245178,1.124137918980271,1.1139946055100851,0,0,1,1,1.1182836294174194,,0,-0.0011466900507608457,-0.0011420408884683653,0,-0.0012384997154515102,-1,-0.00021230343428798974,5.6147545849112536e-05,0,1,-0.010403316052109313,-0.0002600025819234908,-0.006912196741527321,0.002130235300487504,0
2019-05-31,1.1129908561706543,1.1179429292678833,1.1126564741134644,1.1131147146224976,1.1131147146224976,0,EURUSD=X,-0.0005567402489159,0.0,0.0005567402489159,0.0004756461273185,0.0010568220172747,0.4500721214581954,31.037912859506747,1.1168526649475097,1.1186196327209472,1.1172758098078734,1.1190114378596203,-0.001735628051747,1.1109507083892822,1.126341700553894,14.060212688503512,-85.93978731149649,1.1187177896499634,1.1244142190333504,1.1130213602665764,0,0,1,1,1.1179208517074586,,0,-0.0017669677734375444,-0.0011466900507608457,0,-0.0013379253827106082,0,-0.0003977026690363918,-0.00021230343428798974,0,0,-0.011299504410852812,9.335435592117136e-05,-0.010403316052109313,-0.0002600025819234908,0
2019-06-03,1.1173434257507324,1.1211000680923462,1.1162209510803225,1.1174057722091677,1.1174057722091677,0,EURUSD=X,0.0038475888526604,0.0038475888526604,0.0,0.0006590327274796,0.0010568220172747,0.6235985972161362,38.40842177896521,1.1161412000656128,1.1182994524637857,1.117295804023457,1.1188924996632907,-0.0015966956398336,1.1109507083892822,1.124606370925903,47.2702353516331,-52.7297646483669,1.118720281124115,1.12441424561556,1.11302631663267,0,0,0,0,1.1168526649475097,,0,-0.0021582523981729107,-0.0017669677734375444,0,-0.0013896794341352065,0,-0.0002070162056983934,-0.0003977026690363918,0,0,-0.007008473406392213,0.0043794555764977705,-0.011299504410852812,9.335435592117136e-05,0
2019-06-04,1.1245558261871338,1.1277772188186646,1.1227755546569824,1.124631643295288,1.124631643295288,0,EURUSD=X,0.0064458300784319,0.0064458300784319,0.0,0.0011194491616533,0.001031946808034,1.0847934728205535,52.03361805200385,1.1171911001205443,1.1183651606241862,1.1184243946806618,1.1193176214138092,-0.0008932267331474,1.1109507083892822,1.1277772188186646,81.30583559450517,-18.694164405494824,1.119022822380066,1.1252988415477203,1.1127468032124117,0,0,-1,-1,1.1161412000656128,,0,-0.0011740605036418827,-0.0021582523981729107,0,-0.0012903888939376452,1,0.0003971621607902452,-0.0002070162056983934,0,0,-0.0006671982524322218,0.01188484008287638,-0.007008473406392213,0.0043794555764977705,0
2019-06-05,1.1255050897598269,1.130454421043396,1.123987078666687,1.1254037618637085,1.1254037618637085,0,EURUSD=X,0.0006863168436884,0.0006863168436884,0.0,0.0011684717933454,0.0008532533230734,1.3694312834744984,57.79577964659878,1.1188580989837646,1.1185084263483682,1.1194981434780535,1.1197684466323203,-0.0002703031542667,1.1109507083892822,1.130454421043396,74.10411407685396,-25.89588592314604,1.119283777475357,1.1261677718745282,1.1123997830761858,0,0,0,-1,1.1171911001205443,bullish crossover,1,0.00034967263539642524,-0.0011740605036418827,0,-0.001086371746003456,0,0.000816068591736756,0.0003971621607902452,0,0,-0.0007640100108197156,0.013003978787522685,-0.0006671982524322218,0.01188484008287638,0
2019-06-06,1.122725009918213,1.1307867765426636,1.1223849058151243,1.1229015588760376,1.1229015588760376,0,EURUSD=X,-0.0022258578473965,0.0,0.0022258578473965,0.001150865709019,0.0010122431693161,1.1369458880089307,53.20424323276918,1.1206914901733398,1.118671981493632,1.120021745846974,1.1200005290207438,2.121682623035248e-05,1.1109507083892822,1.1307867765426636,60.24808139569824,-39.75191860430176,1.1194735288619997,1.1265436492948804,1.1124034084291186,0,0,0,0,1.1188580989837646,,0,0.0020195086797079043,0.00034967263539642524,0,-0.0008648540315566944,0,0.0008860708577870469,0.000816068591736756,0,0,-0.0036420904188427805,0.010498150446919041,-0.0007640100108197156,0.013003978787522685,0
2019-06-07,1.127548336982727,1.1348161697387695,1.1253150701522827,1.127650022506714,1.127650022506714,0,EURUSD=X,0.0042198283445358,0.0042198283445358,0.0,0.001452282019343,0.0007972311396874,1.821657417838,64.55983658121698,1.1235985517501832,1.1191336870193482,1.1211953268715495,1.120567158167853,0.0006281687036968,1.1109507083892822,1.1348161697387695,69.97272700027067,-30.027272999729337,1.1198643624782565,1.1278262046688343,1.111902520287678,0,0,0,0,1.1206914901733398,,0,0.004464864730834961,0.0020195086797079043,0,-0.0005662494845059956,0,0.0011944181882027954,0.0008860708577870469,0,0,-0.00017618216212023086,0.01574750221903609,-0.0036420904188427805,0.010498150446919041,0
2019-06-10,1.1319003105163574,1.1326953172683716,1.12920343875885,1.1320157051086426,1.1320157051086426,0,EURUSD=X,0.003864012256703,0.003864012256703,0.0,0.0017282828948218,0.00074456846197,2.321187349581128,69.89028637224814,1.126520538330078,1.1201110045115152,1.122860000446487,1.1214151986819854,0.0014448017645016,1.1109507083892822,1.1348161697387695,88.26561703913126,-11.73438296086874,1.1203547239303588,1.1299623754283037,1.110747072432414,0,-1,-1,-1,1.1235985517501832,,0,0.006409533818562796,0.004464864730834961,0,-0.00016403923470447644,0,0.0016088409992060764,0.0011944181882027954,0,-1,0.002053329680338889,0.021268632676228583,-0.00017618216212023086,0.01574750221903609,-1
2019-06-11,1.1318362951278689,1.1332728862762451,1.13047993183136,1.1318106651306152,1.1318106651306152,0,EURUSD=X,-0.0001811446154029,0.0,0.0001811446154029,0.0017075425216138,0.0007575073630702,2.254159635746773,69.27010005855115,1.1279563426971435,1.1211295525232952,1.1242370257825067,1.1221852332337356,0.002051792548771,1.1109507083892822,1.1348161697387695,87.4064675970789,-12.59353240292111,1.1207629561424255,1.131577478318753,1.1099484339660977,0,-1,-1,-1,1.126520538330078,,0,0.006826790173848352,0.006409533818562796,0,0.0002791271219906189,0,0.0017726654267803813,0.0016088409992060764,0,-1,0.00023318681186212942,0.021862231164517576,0.002053329680338889,0.021268632676228583,-1
2019-06-12,1.132939100265503,1.1343011856079102,1.1308507919311523,1.1329518556594849,1.1329518556594849,0,EURUSD=X,0.0010077795044542,0.0010077795044542,0.0,0.001779526771932,0.0006737922163718,2.6410616339770123,72.53548276501618,1.1294659614562987,1.1222025632858277,1.125577768840503,1.1229827608208285,0.002595008019675,1.1118524074554443,1.1348161697387695,91.88149547847212,-8.118504521527871,1.121247810125351,1.1333281500871948,1.109167470163507,-1,-1,-1,-1,1.1279563426971435,,0,0.007263398170471058,0.006826790173848352,0,0.0007423033015274952,0,0.001852704718147505,0.0017726654267803813,0,0,-0.0003762944277099223,0.023784385495977833,0.00023318681186212942,0.021862231164517576,0
2019-06-13,1.1293054819107056,1.1305004358291626,1.127116084098816,1.1295605897903442,1.1295605897903442,0,EURUSD=X,-0.0029977898381629,0.0,0.0029977898381629,0.0015936236386692,0.0008879200619549,1.7947827816398674,64.21904390675974,1.13079776763916,1.1231367031733197,1.1261905105250942,1.1234700074111628,0.0027205031139314,1.1118524074554443,1.1348161697387695,77.1135936542874,-22.886406345712597,1.121703428030014,1.134331722419702,1.109075133640326,0,0,0,-1,1.1294659614562987,,0,0.0076610644658403615,0.007263398170471058,0,0.0011379432640082762,0,0.0015825598499231237,0.001852704718147505,0,0,-0.004771132629357799,0.02048545615001829,-0.0003762944277099223,0.023784385495977833,0
2019-06-14,1.127955198287964,1.1290504932403564,1.1215037107467651,1.128044366836548,1.128044366836548,0,EURUSD=X,-0.0013432139022485,0.0,0.0013432139022485,0.0014336682771767,0.0009838639121155,1.457181485693493,59.30296537629295,1.130876636505127,1.1237759510676066,1.1264757191883947,1.1238088488500804,0.0026668703383143,1.1118524074554443,1.1348161697387695,70.51091707590656,-29.48908292409343,1.122069424390793,1.134998955347288,1.109139893434298,0,0,0,0,1.13079776763916,,0,0.007100685437520404,0.0076610644658403615,0,0.001443728678869481,0,0.0012231416594448191,0.0015825598499231237,0,0,-0.006954588510739823,0.0189044734022501,-0.004771132629357799,0.02048545615001829,0
2019-06-17,1.121604323387146,1.1246000528335571,1.1205360889434814,1.1217050552368164,1.1217050552368164,0,EURUSD=X,-0.0056355861817146,0.0,0.0056355861817146,0.0014336682771767,0.0012855951805965,1.11517863384603,52.72266918743881,1.1288145065307618,1.1238254149754845,1.125741770888152,1.123653012286135,0.002088758602017,1.1118524074554443,1.1348161697387695,42.905198459254336,-57.094801540745664,1.1222868800163268,1.1350275383285082,1.1095462217041454,0,0,0,0,1.130876636505127,,0,0.00498909155527727,0.007100685437520404,0,0.0015727346634989848,0,0.0005160239385180153,0.0012231416594448191,0,0,-0.013322483091691817,0.012158833532670998,-0.006954588510739823,0.0189044734022501,0
2019-06-18,1.12271249294281,1.12440025806427,1.1182304620742798,1.1224603652954102,1.1224603652954102,0,EURUSD=X,0.0006731322746558,0.0006731322746558,0.0,0.0014817491539378,0.0011378242964964,1.3022653484376736,56.56452021576905,1.1269444465637206,1.124030629793803,1.1252369392584995,1.1235646680646,0.0016722711938996,1.1118524074554443,1.1348161697387695,46.194337448217865,-53.80566255178214,1.1225832760334016,1.1350327557507711,1.110133796316032,0,0,0,0,1.1288145065307618,,0,0.002913816769917643,0.00498909155527727,0,0.0015926419695791079,0,7.96292243204922e-05,0.0005160239385180153,0,0,-0.01257239045536096,0.012326568979378116,-0.013322483091691817,0.012158833532670998,0
2019-06-19,1.1197456121444702,1.1222084760665894,1.1188685894012451,1.1198208332061768,1.1198208332061768,0,EURUSD=X,-0.0023543285384641,0.0,0.0023543285384641,0.0014817491539378,0.0010924757980218,1.3563221781396544,57.560981716451344,1.124318242073059,1.1242141008377076,1.1244036921735268,1.123287346963976,0.0011163452095508,1.1126564741134644,1.1348161697387695,32.330584381001565,-67.66941561899843,1.1227314829826356,1.1349625769646652,1.110500389000606,0,0,0,0,1.1269444465637206,,0,0.00010414123535151809,0.002913816769917643,-1,0.0014973826175734466,-1,-0.00038103740802264657,7.96292243204922e-05,0,0,-0.015141743758488424,0.009320444205570766,-0.01257239045536096,0.012326568979378116,0
2019-06-20,1.1235828399658203,1.1315160989761353,1.1235828399658203,1.1238480806350708,1.1238480806350708,0,EURUSD=X,0.0035898806005275,0.0035898806005275,0.0,0.0017381691968326,0.0010527086373849,1.6511398644457025,62.28037556935613,1.1231757402420044,1.124888332684835,1.1243182134753027,1.1233288827914645,0.0009893306838384,1.1162209510803225,1.1348161697387695,41.01661666281951,-58.98338333718048,1.1231464624404908,1.1349054961399545,1.111387428741027,0,0,0,0,1.124318242073059,,0,-0.0017125924428305073,0.00010414123535151809,0,0.0013957722308264374,0,-0.00040644154698803734,-0.00038103740802264657,0,0,-0.011057415504883705,0.012460651894043773,-0.015141743758488424,0.009320444205570766,0
2019-06-21,1.1293182373046875,1.1333370208740234,1.1283625364303589,1.1295605897903442,1.1295605897903442,0,EURUSD=X,0.0050701157472439,0.0050701157472439,0.0,0.0018254925464457,0.0010527086373849,1.7340909740993928,63.42477227447053,1.1234789848327638,1.1259847243626913,1.125124732908386,1.1237904907173073,0.0013342421910786,1.1182304620742798,1.1348161697387695,68.31259748007274,-31.68740251992726,1.123701709508896,1.1355762905581814,1.1118271284596104,0,0,0,0,1.1231757402420044,,0,-0.0025057395299274976,-0.0017125924428305073,0,0.00138346622287687,0,-4.922403179827002e-05,-0.00040644154698803734,0,0,-0.006015700767837195,0.017733461330733835,-0.011057415504883705,0.012460651894043773,0
