id,name,Open,Close,High,Low,data_volume,data_datetime,timeframe,Name,Return,Up,Down,avg_14up,avg_14down,RS_14,RSI,5MA,15MA,12Ewm,26Ewm,MACD,low_14,high_14,k_percent,B_MA,BU,BL
41482,EURUSD,1.06074,1.06056,1.06083,1.05995,0.0,2023-03-16 06:00:00.000,1h,EURUSD,-0.012425313766777808,0.0,0.012425313766777808,0.0024947372678626894,0.0024900226218130287,1.0018934149466594,50.04729060329892,1.066436,1.062542,1.064645260821089,1.0654668891178611,-0.0008216282967721256,1.05425,1.07463,30.96172718351334,1.0640589999999999,1.0755016954866412,1.0526163045133585
41512,EURUSD,1.06297,1.06262,1.06334,1.06122,0.0,2023-03-17 12:00:00.000,1h,EURUSD,0.00194048610707373,0.00194048610707373,0.0,0.002533728534838254,0.0024900226218130287,1.0175524160472895,50.434992813759884,1.067336,1.062684,1.0643336822332292,1.065256008442464,-0.000922326209234825,1.05425,1.07463,41.06967615309108,1.0636495,1.0746526908769085,1.0526463091230913
41537,EURUSD,1.0705,1.07238,1.07308,1.0703,0.0,2023-03-20 13:00:00.000,1h,EURUSD,0.009142920832674394,0.009142920832674394,0.0,0.0031867943086007107,0.0020426880544540016,1.560098372168002,60.93900098248347,1.06793,1.063378,1.0655715772742709,1.0657837115208,-0.0002121342465291054,1.05425,1.07463,88.95976447497618,1.0637335,1.0749861437127601,1.05248085628724
41562,EURUSD,1.07777,1.07741,1.07798,1.07608,0.0,2023-03-21 14:00:00.000,1h,EURUSD,0.004679535376878402,0.004679535376878402,0.0,0.0033101874309433743,0.0020426880544540016,1.6205055998274625,61.83942518322261,1.069358,1.0648493333333333,1.0673928730782292,1.0666449180748148,0.0007479550034144022,1.05425,1.07798,97.59797724399512,1.0643980000000002,1.0772085262638933,1.051587473736107
41592,EURUSD,1.0865,1.08551,1.08655,1.08546,0.0,2023-03-22 20:00:00.000,1h,EURUSD,0.007489909813234122,0.007489909813234122,0.0,0.0036928308983105286,0.0020426880544540016,1.8078290957145684,64.38529675733315,1.071696,1.0666526666666667,1.0701801233738861,1.0680423315507543,0.002137791823131785,1.05425,1.08655,96.78018575851415,1.0652295,1.081066305200146,1.0493926947998542
41617,EURUSD,1.08304,1.08326,1.08338,1.08293,0.0,2023-03-23 21:00:00.000,1h,EURUSD,-0.0020749095637014048,0.0,0.0020749095637014048,0.003277879156099663,0.0021908958804326734,1.4961364368681567,59.938087308453525,1.076236,1.0681553333333333,1.072192412085596,1.0691695662506984,0.0030228458348975362,1.05425,1.08655,89.81424148606806,1.0659655,1.083704107878683,1.0482268921213167
41642,EURUSD,1.0774,1.07775,1.07798,1.07657,0.0,2023-03-26 22:00:00.000,1h,EURUSD,-0.005099478429509419,0.0,0.005099478429509419,0.003277879156099663,0.0022424756806428995,1.4617233909800627,59.37805182889051,1.079262,1.0688786666666668,1.0730474256108888,1.0698051539358318,0.0032422716750570846,1.05425,1.08655,72.7554179566566,1.0668285000000002,1.0851163991052613,1.048540600894739
41672,EURUSD,1.08152,1.08121,1.08153,1.08101,0.0,2023-03-28 04:00:00.000,1h,EURUSD,0.0032052497148888914,0.0032052497148888914,0.0,0.003194826404807973,0.0022424756806428995,1.424687202802593,58.7575667968989,1.081028,1.0701433333333332,1.0743032062861366,1.0706499573479924,0.003653248938144227,1.05425,1.08655,83.46749226006223,1.0677904999999999,1.087003095073901,1.0485779049260988
41697,EURUSD,1.08382,1.0832,1.08408,1.08316,0.0,2023-03-29 05:00:00.000,1h,EURUSD,0.0018388388158776109,0.0018388388158776109,0.0,0.0033261720345135167,0.0016825913771711294,1.9768150958348965,66.40705022629115,1.0821859999999999,1.0712306666666669,1.075671943780577,1.07157959013703,0.0040923536435470975,1.05425,1.08655,89.62848297213634,1.0691835,1.0886336622507102,1.04973333774929
41777,EURUSD,1.08654,1.08852,1.08968,1.08645,0.0,2023-04-03 13:00:00.000,1h,EURUSD,0.004899352256842529,0.004899352256842529,0.0,0.003676125767145126,0.0013999786971420451,2.6258440750917638,72.42021500953011,1.0827879999999999,1.073228,1.0776485678143344,1.072834435312065,0.004814132502269475,1.0578,1.08968,96.36135508155567,1.0706865,1.0912608501783936,1.0501121498216066
41802,EURUSD,1.0904,1.09695,1.09733,1.0904,0.0,2023-04-04 14:00:00.000,1h,EURUSD,0.007714625970216951,0.007714625970216951,0.0,0.0039742539006040805,0.0013999786971420451,2.8387959821940374,73.95016550401678,1.0855260000000002,1.076066,1.0806180189198213,1.0746207734370972,0.005997245482724178,1.05995,1.09733,98.98341359015564,1.072498,1.0956018986001566,1.0493941013998433
41832,EURUSD,1.09042,1.09073,1.09076,1.09012,0.0,2023-04-05 20:00:00.000,1h,EURUSD,-0.005686404556792049,0.0,0.005686404556792049,0.0032161577597273503,0.00180615045119862,1.780669909083711,64.03744303726,1.088122,1.07824,1.082173708316772,1.0758140494787938,0.006359658837978177,1.05995,1.09733,82.34349919743192,1.0736895,1.0980040089671947,1.0493749910328052
41857,EURUSD,1.09194,1.0918,1.09198,1.09179,0.0,2023-04-06 21:00:00.000,1h,EURUSD,0.000980513519379403,0.000980513519379403,0.0,0.0032287759708124926,0.00180615045119862,1.787656154928717,64.1275701010704,1.09024,1.0797326666666665,1.083654676268038,1.076998193961846,0.006656482306191869,1.05995,1.09733,85.20599250936378,1.0751675,1.1001364802291607,1.0501985197708394
41882,EURUSD,1.09064,1.09096,1.09115,1.09046,0.0,2023-04-09 22:00:00.000,1h,EURUSD,-0.0007696677980789102,0.0,0.0007696677980789102,0.002992245171933288,0.0018611267224899707,1.6077600389993931,61.65291341822602,1.091792,1.081112,1.0847785722268013,1.0780324018165242,0.006746170410277141,1.05995,1.09733,82.95880149812737,1.076371,1.1019724192863147,1.0507695807136852
